Date,Product,Region,Sales,Profit,Quantity
2022-04-13,Product C,North,586.0,130.0,7
2023-03-12,Product C,North,469.0,59.0,2
2022-09-28,Product D,South,555.0,138.0,4
2022-04-17,Product C,South,409.0,94.0,9
2022-03-13,,Central,,149.0,6
2023-12-02,Product B,North,476.0,54.0,8
2022-01-21,Product A,East,675.0,75.0,2
2023-09-07,Product D,Central,538.0,84.0,7
2022-05-02,Product D,North,550.0,83.0,6
2023-04-12,Product D,North,438.0,65.0,9
2022-08-03,Product B,South,426.0,119.0,7
2022-11-27,Product C,Central,435.0,65.0,1
2023-04-04,Product A,North,559.0,86.0,8
2022-03-29,Product E,North,436.0,109.0,3
2023-01-08,Product C,Central,543.0,103.0,2
2022-04-10,Product B,East,811.0,207.0,3
2023-10-26,Product C,Central,630.0,71.0,6
2022-05-11,Product C,Central,451.0,89.0,3
2023-10-24,Product B,East,680.0,72.0,5
2022-11-05,Product D,Central,438.0,,6
2022-12-10,Product D,North,194.0,54.0,8
2023-05-07,Product A,Central,348.0,44.0,7
2023-02-18,Product A,East,219.0,45.0,8
2023-01-21,Product D,West,447.0,81.0,3
2022-07-11,Product E,Central,502.0,85.0,4
2022-10-04,Product C,South,751.0,210.0,6
2022-06-10,Product E,,549.0,57.0,7
2023-04-05,Product C,North,467.0,108.0,9
2022-11-10,Product D,South,624.0,182.0,1
2022-01-22,Product A,South,168.0,,8
2022-09-10,Product A,Central,535.0,153.0,8
2023-07-15,Product E,South,615.0,67.0,6
2023-04-20,Product A,West,278.0,51.0,4
2022-02-28,Product D,East,671.0,102.0,3
2023-05-26,Product E,South,550.0,135.0,3
2023-11-13,Product C,South,,129.0,6
2023-04-21,Product A,West,594.0,89.0,8
2023-12-01,Product B,North,840.0,193.0,7
2022-07-09,Product A,North,527.0,73.0,1
2023-11-18,Product C,,,114.0,6
2023-07-17,Product E,West,431.0,83.0,7
2023-07-21,Product C,East,372.0,109.0,7
2022-09-01,Product B,East,624.0,,9
2023-05-20,Product D,West,371.0,63.0,5
2022-05-11,Product A,East,510.0,,1
2023-04-30,Product E,North,428.0,,2
2023-10-09,Product D,East,571.0,82.0,4
2022-01-21,Product C,East,550.0,82.0,5
2022-06-16,Product E,West,655.0,176.0,9
2022-10-01,Product D,West,423.0,89.0,1
2023-01-23,Product E,East,459.0,93.0,3
2023-08-24,Product B,South,353.0,43.0,5
2022-11-12,Product B,West,433.0,117.0,3
2022-01-14,Product A,Central,556.0,135.0,4
2022-08-30,Product A,,613.0,69.0,3
2022-12-12,Product B,North,361.0,87.0,4
2023-07-19,Product E,East,630.0,131.0,1
2022-12-06,Product B,South,703.0,81.0,8
2022-04-02,Product A,North,562.0,107.0,4
2023-01-02,Product B,East,781.0,153.0,7
2023-03-31,Product B,West,383.0,50.0,2
2023-03-04,Product E,Central,313.0,90.0,2
2023-05-24,Product D,South,233.0,62.0,6
2022-02-04,Product A,Central,724.0,169.0,2
2022-07-25,Product E,West,598.0,115.0,6
2022-03-22,Product B,East,491.0,89.0,2
2023-07-16,Product B,,541.0,124.0,4
2023-01-23,Product D,,331.0,69.0,7
2022-01-02,Product A,Central,866.0,97.0,8
2023-01-25,Product A,South,519.0,105.0,3
2023-07-20,Product C,West,516.0,134.0,9
2022-04-16,Product A,Central,608.0,116.0,2
2023-04-22,Product D,South,572.0,63.0,8
2023-12-04,Product C,East,533.0,137.0,8
2023-02-06,Product C,East,,53.0,4
2023-07-10,Product B,North,570.0,86.0,1
2022-06-11,Product B,Central,782.0,103.0,1
2022-07-21,,South,701.0,116.0,2
2022-09-27,Product C,West,738.0,185.0,9
2022-09-28,Product B,East,423.0,86.0,2
2023-04-01,,South,351.0,49.0,2
2023-04-07,Product B,Central,481.0,132.0,6
2023-12-28,Product B,North,508.0,140.0,7
2022-09-09,Product C,East,664.0,182.0,7
2023-12-03,Product C,South,246.0,36.0,9
2022-10-23,Product E,South,729.0,138.0,6
2023-12-26,Product D,South,476.0,141.0,8
2023-12-21,Product C,Central,435.0,110.0,6
2022-12-04,Product A,Central,348.0,36.0,2
2022-02-22,Product D,Central,251.0,28.0,1
2022-08-05,Product D,West,623.0,120.0,5
2022-07-07,Product C,South,510.0,143.0,9
2023-01-15,Product D,East,306.0,63.0,8
2023-05-08,Product C,Central,305.0,,4
2022-02-10,,Central,449.0,54.0,5
2022-06-06,Product E,South,750.0,173.0,5
2022-01-15,Product B,,461.0,121.0,6
2022-03-06,Product C,West,274.0,48.0,3
2023-06-05,Product C,West,463.0,118.0,5
2022-12-10,Product B,Central,459.0,134.0,2
2022-05-09,Product A,South,95.0,13.0,1
2023-10-10,Product A,South,491.0,100.0,1
2023-04-17,Product A,South,465.0,73.0,7
2022-03-04,Product C,North,604.0,156.0,2
2022-05-19,Product D,Central,777.0,167.0,4
2023-05-14,Product C,South,668.0,,5
2023-08-16,Product D,West,459.0,119.0,7
2023-01-27,,East,334.0,,2
2023-11-06,Product E,East,886.0,250.0,6
2023-02-23,Product D,South,508.0,104.0,1
2022-10-16,Product A,East,502.0,66.0,7
2023-01-14,Product C,East,496.0,118.0,9
2023-05-05,Product B,North,529.0,136.0,5
2022-08-19,Product A,West,478.0,78.0,5
2022-02-10,Product B,West,413.0,112.0,4
2022-01-28,Product E,North,417.0,,3
2022-05-15,Product C,,495.0,76.0,9
2022-07-20,Product C,East,418.0,,5
2022-02-02,Product E,Central,393.0,50.0,8
2022-02-17,Product C,East,515.0,72.0,9
2023-05-18,Product D,North,461.0,63.0,5
2023-02-11,Product B,West,725.0,202.0,9
2023-07-28,Product A,East,102.0,23.0,2
2023-12-29,Product E,Central,663.0,86.0,9
2022-04-09,Product D,East,686.0,129.0,4
2023-11-15,Product A,South,188.0,41.0,6
2023-12-27,Product A,East,448.0,52.0,6
2023-07-01,Product E,North,444.0,122.0,6
2023-09-05,Product D,West,288.0,75.0,2
2023-04-07,Product A,West,383.0,76.0,7
2023-10-05,Product A,North,333.0,97.0,6
2022-01-05,Product D,South,762.0,139.0,1
2022-08-06,Product C,North,640.0,189.0,2
2023-05-18,Product A,East,690.0,161.0,7
2023-02-02,Product B,,608.0,137.0,1
2023-01-28,Product D,North,330.0,43.0,1
2022-07-26,Product A,South,421.0,116.0,1
2022-01-15,,East,573.0,106.0,8
2023-07-08,Product B,Central,316.0,41.0,4
2023-04-06,Product A,Central,606.0,,4
2023-11-22,Product B,West,463.0,98.0,2
2023-07-29,Product B,North,443.0,91.0,1
2022-08-29,Product C,West,606.0,147.0,9
2023-07-18,Product B,South,566.0,157.0,7
2022-04-06,Product C,Central,445.0,51.0,4
2023-04-30,Product D,North,673.0,165.0,6
2023-02-11,Product C,South,337.0,46.0,2
